steps,winnings
50000,33524.4
100000,6539.2
150000,33444.4
200000,26312.8
250000,36659.6
300000,3198.4
350000,218.0
400000,7049.2
450000,2930.8
500000,-1630.8
550000,-1335.2
600000,6923.2
650000,-802.4
700000,6160.0
750000,1016.0
800000,9624.8
850000,-1556.0
900000,706.0
950000,-1108.0
1000000,809.2
1050000,-574.4
1100000,10120.4
1150000,-2450.4
1200000,4920.4
1250000,776.0
1300000,-1260.0
1350000,697.6
1400000,-1128.0
1450000,-1000.4
1500000,4071.2
1550000,5240.0
1600000,1104.0
1650000,-813.6
1700000,1577.6
1750000,1972.8
1800000,-3752.8
1850000,24798.4
1900000,-2811.6
1950000,356.0
2000000,-3561.6
2050000,-3556.4
2100000,-1846.0
2150000,-2807.6
2200000,-2024.0
2250000,27523.2
2300000,-647.2
2350000,-7304.0
2400000,4623.2
2450000,791.2
2500000,-5934.0
2550000,-2551.6
2600000,-2251.6
2650000,315.6
2700000,217.6
2750000,-2015.2
2800000,-1860.8
2850000,-3372.8
2900000,280.0
2950000,3321.6
3000000,2590.0
3050000,-556.8
3100000,-1190.4
3150000,883.2
3200000,2284.8
3250000,4393.6
3300000,1958.4
3350000,134.4
3400000,-1152.0
3450000,74.8
3500000,-308.8
3550000,-190.4
3600000,2265.6
3650000,1728.0
3700000,1536.0
3750000,593.6
3800000,268.8
3850000,-422.4
3900000,1195.6
3950000,1759.6
4000000,-1094.4
4050000,2822.4
4100000,-307.2
4150000,-2052.8
4200000,-1862.4
4250000,-96.0
4300000,-39.2
4350000,729.6
4400000,-1708.8
4450000,2188.8
4500000,76.8
4550000,2073.6
4600000,-1075.2
4650000,-464.8
4700000,-4469.6
4750000,-1574.4
4800000,3624.8
4850000,89.6
4900000,-902.4
4950000,-96.0
