steps,winnings
50000,-34307.0
100000,-9472.0
150000,-34473.0
200000,-27306.0
250000,-34893.0
300000,-6350.0
350000,1324.0
400000,-8473.0
450000,-3810.0
500000,-149.0
550000,1417.0
600000,-7085.0
650000,-1026.0
700000,-7400.0
750000,1256.0
800000,-7627.0
850000,-2283.0
900000,-951.0
950000,-183.0
1000000,-4484.0
1050000,2099.0
1100000,-10029.0
1150000,609.0
1200000,-3075.0
1250000,-2576.0
1300000,1644.0
1350000,-605.0
1400000,1956.0
1450000,794.0
1500000,1695.0
1550000,-858.0
1600000,-1782.0
1650000,793.0
1700000,-1446.0
1750000,-1260.0
1800000,-992.0
1850000,-26140.0
1900000,2774.0
1950000,-3308.0
2000000,2843.0
2050000,6211.0
2100000,964.0
2150000,5919.0
2200000,2070.0
2250000,-23670.0
2300000,-100.0
2350000,3259.0
2400000,-5536.0
2450000,-3764.0
2500000,8498.0
2550000,6110.0
2600000,2642.0
2650000,7628.0
2700000,-2626.0
2750000,3919.0
2800000,-124.0
2850000,1475.0
2900000,4535.0
2950000,2256.0
3000000,-2898.0
3050000,3600.0
3100000,-2112.0
3150000,-432.0
3200000,-1152.0
3250000,-5270.0
3300000,-336.0
3350000,-42.0
3400000,-5712.0
3450000,-2034.0
3500000,-756.0
3550000,-924.0
3600000,0.0
3650000,4176.0
3700000,384.0
3750000,-420.0
3800000,-1584.0
3850000,-2256.0
3900000,-2391.0
3950000,-4218.0
4000000,192.0
4050000,-1776.0
4100000,-1872.0
4150000,2294.0
4200000,-6480.0
4250000,-2496.0
4300000,-2002.0
4350000,-144.0
4400000,0.0
4450000,-5808.0
4500000,3936.0
4550000,3936.0
4600000,2112.0
4650000,868.0
4700000,1556.0
4750000,-2832.0
4800000,-607.0
4850000,98.0
4900000,48.0
4950000,-3648.0
5000000,2112.0
5050000,1248.0
5100000,4512.0
5150000,-3547.0
5200000,-1755.0
5250000,1728.0
5300000,-288.0
5350000,1321.0
5400000,-2592.0
5450000,-2256.0
5500000,-150.0
5550000,-2592.0
5600000,48.0
5650000,144.0
5700000,-288.0
5750000,-2193.0
5800000,-5760.0
5850000,-1488.0
5900000,1905.0
5950000,3888.0
6000000,2496.0
6050000,-1776.0
6100000,-1872.0
6150000,605.0
6200000,192.0
6250000,-1056.0
6300000,-4124.0
6350000,-1897.0
6400000,752.0
6450000,-3667.0
6500000,1200.0
6550000,-4224.0
6600000,-480.0
6650000,2140.0
6700000,-2640.0
6750000,-38.0
6800000,-960.0
6850000,-1296.0
6900000,1920.0
6950000,238.0
7000000,-432.0
