steps,winnings
2500,-12920.0
5000,-16759.0
7500,-18952.0
10000,-13375.5
12500,-13587.5
15000,-13409.5
17500,-14644.0
20000,-7839.5
22500,-10139.5
25000,-13887.0
27500,-11450.5
30000,-8036.5
32500,-12093.0
35000,-6683.0
37500,-5712.0
40000,-9038.5
42500,-8614.0
45000,-489.5
47500,-9330.0
50000,-3635.0
52500,-4821.5
55000,-7408.0
57500,-7034.0
60000,-7557.0
62500,-3241.5
65000,-254.0
67500,-5785.0
70000,-2235.0
72500,-2693.5
75000,-2740.5
77500,-3414.0
80000,-5959.5
82500,-4482.0
85000,-6780.5
87500,-1820.0
90000,-7013.0
92500,-770.0
95000,-4290.0
97500,-5810.0
100000,114.5
102500,-1757.5
105000,-5091.5
107500,-9492.0
110000,-1224.5
112500,-598.5
115000,1183.0
117500,-4477.5
120000,501.5
122500,-2992.5
125000,-4908.0
127500,-3959.5
130000,-4896.0
132500,-4999.0
135000,-7604.5
137500,-3859.5
140000,-3948.0
142500,-2353.0
145000,-2452.0
147500,-3218.0
150000,-6568.5
152500,-2148.0
155000,-6963.0
157500,-4403.5
160000,-2085.0
162500,-1060.0
165000,1.5
167500,-7335.5
170000,-1716.0
172500,-1653.5
175000,-4561.0
177500,-5516.0
180000,-507.0
182500,-2917.5
185000,-1218.0
187500,-2533.0
190000,-2632.0
192500,-4760.5
195000,-3076.0
197500,-2364.0
200000,-3331.0
202500,-5669.0
205000,-6357.0
207500,-3274.5
210000,-4149.5
212500,-3940.5
215000,-4046.5
217500,-6534.5
220000,-5340.5
222500,-4886.0
225000,-6639.5
227500,-2435.0
230000,-4581.0
232500,-3893.5
235000,-4715.5
237500,-2030.5
