steps,winnings
2500,9456.0
5000,11402.5
7500,9389.0
10000,9539.0
12500,7959.0
15000,5158.0
17500,8754.5
20000,5804.5
22500,5476.5
25000,5911.5
27500,3940.5
30000,-32.0
32500,6674.0
35000,2790.5
37500,2588.5
40000,2878.0
42500,4016.0
45000,-292.0
47500,2129.5
50000,2429.5
52500,-1731.5
55000,2607.0
57500,2432.0
60000,2994.5
62500,2284.5
65000,-1016.0
67500,-1078.0
70000,-1126.5
72500,-2453.5
75000,-1102.0
77500,-487.0
80000,-438.5
82500,287.5
85000,-855.0
87500,-3046.0
90000,-1262.0
92500,-484.5
95000,609.0
97500,1050.0
100000,-722.0
102500,-1226.5
105000,-603.0
107500,3927.5
110000,-3360.0
112500,1909.0
115000,1296.5
117500,829.5
120000,-2711.0
122500,-2252.0
125000,898.0
127500,3286.5
130000,1341.5
132500,-3072.5
135000,579.5
137500,-879.5
140000,-478.0
142500,-2385.5
145000,-1143.0
147500,-1329.5
150000,1822.5
152500,-2423.5
155000,2166.0
157500,3398.5
160000,2296.5
162500,-614.5
165000,2524.0
167500,922.0
170000,-1010.5
172500,3319.0
175000,1013.0
177500,1952.5
180000,-705.5
182500,490.5
185000,1219.0
187500,589.5
190000,1499.0
192500,-403.0
195000,-1924.5
197500,-2123.0
200000,-1351.5
202500,2392.5
205000,-1317.0
207500,-841.5
210000,2068.5
212500,2260.5
215000,851.0
217500,-218.0
220000,297.5
222500,1896.0
225000,2214.0
227500,556.0
230000,-647.5
232500,3405.5
235000,2523.0
