steps,winnings
2500,-12964.0
5000,-15602.0
7500,-16417.5
10000,-11544.5
12500,-13303.5
15000,-13094.5
17500,-11215.0
20000,-10238.0
22500,-12937.5
25000,-11341.0
27500,-10634.5
30000,-13314.5
32500,-9685.0
35000,-1884.0
37500,-5136.0
40000,-7482.5
42500,-8139.5
45000,-6167.5
47500,-9428.0
50000,-4086.5
52500,-2066.5
55000,-4575.0
57500,-6031.5
60000,-4812.5
62500,-3990.0
65000,-2909.0
67500,-4023.0
70000,-207.0
72500,-4842.0
75000,569.0
77500,-2803.5
80000,978.0
82500,-4348.5
85000,-1384.5
87500,-1360.5
90000,-2933.0
92500,-2274.0
95000,-2947.5
97500,-5162.0
100000,-5083.0
102500,-3715.0
105000,-7871.5
107500,-7364.0
110000,-1986.5
112500,-2579.5
115000,-2768.0
117500,-1172.0
120000,-1968.5
122500,-3704.0
125000,-1437.5
127500,-2197.0
130000,-3318.0
132500,-563.0
135000,-8176.5
137500,-2954.0
140000,-4108.5
142500,242.0
145000,127.5
147500,-3101.0
150000,-2808.5
152500,-4421.0
155000,-4261.0
157500,-5323.0
160000,-1514.0
162500,-654.0
165000,-2317.0
167500,-4667.0
170000,-5011.0
172500,-4617.5
175000,-5229.0
177500,-1916.0
180000,-2924.0
182500,-3995.5
185000,-266.5
187500,-1242.0
190000,-1538.5
192500,406.0
195000,-3535.0
197500,552.0
200000,-5426.0
202500,-3983.0
205000,-3766.0
207500,-3318.5
210000,-4284.0
212500,-4318.5
215000,-5050.0
217500,-122.0
220000,-5318.0
222500,-1627.0
225000,-3007.5
227500,-3390.5
230000,-3272.0
232500,-3795.5
235000,-2037.0
237500,-4118.5
