steps,winnings
50000,-24383.0
100000,-21083.0
150000,3825.0
200000,-15729.0
250000,1138.0
300000,3523.0
350000,-15454.0
400000,4544.0
450000,-11990.0
500000,-17529.0
550000,-1976.0
600000,-19026.0
650000,2690.0
700000,-19155.0
750000,3356.0
800000,-8576.0
850000,1631.0
900000,6659.0
950000,-12181.0
1000000,-11283.0
1050000,-7925.0
1100000,-655.0
1150000,-11449.0
1200000,4763.0
1250000,3955.0
1300000,5190.0
1350000,2526.0
1400000,3570.0
1450000,8693.0
1500000,7138.0
1550000,-5069.0
1600000,-10066.0
1650000,11059.0
1700000,8474.0
1750000,6336.0
1800000,3759.0
1850000,10266.0
1900000,2809.0
1950000,5592.0
2000000,5243.0
2050000,2142.0
2100000,5963.0
2150000,-10052.0
2200000,4938.0
2250000,3059.0
2300000,6654.0
2350000,-3883.0
2400000,-2881.0
2450000,-5115.0
2500000,4664.0
2550000,3082.0
2600000,7145.0
2650000,-6310.0
2700000,-15219.0
2750000,1495.0
2800000,-7943.0
2850000,6582.0
2900000,3010.0
2950000,-8134.0
3000000,-48176.0
3050000,9284.0
3100000,6689.0
3150000,2592.0
3200000,-2256.0
3250000,2736.0
3300000,-3168.0
3350000,2736.0
3400000,-336.0
3450000,-2928.0
3500000,816.0
3550000,-2400.0
3600000,-4272.0
3650000,-3888.0
3700000,-2976.0
